sala,inicio,fim,seg,ter,qua,qui,sex
LAC,15,19,0,0,1,0,0
LAC,9,13,0,0,0,1,0
LAC,9,13,0,0,0,0,1
LAC,13,15,0,1,0,0,0
LAC,13,15,0,0,0,1,0
LAC,11,13,0,1,0,0,0
LAC,9,11,1,0,0,0,0
LAC,9,11,0,0,1,0,0
LAC,7,9,1,0,0,0,0
LAC,7,9,0,0,1,0,0
LAC,15,17,0,1,0,0,0
LAC,15,17,0,0,0,1,0
L504,17,19,0,1,0,0,0
L504,17,19,0,0,0,1,0
L504,15,17,0,1,0,0,0
L504,15,17,0,0,0,1,0
L504,13,15,0,1,0,0,0
L504,13,15,0,0,0,1,0
I002,11,13,0,1,0,0,0
I002,11,13,0,0,0,1,0
I001,13,15,0,1,0,0,0
I001,13,15,0,0,0,1,0
L210,19,21,1,0,0,0,0
L210,19,21,0,0,1,0,0
L210,19,21,0,1,0,0,0
L210,19,21,0,0,0,1,0
I002,7,9,0,1,0,0,0
I002,7,9,0,0,0,1,0
I003,13,15,0,1,0,0,0
I003,13,15,0,0,0,1,0
L206,19,21,0,1,0,0,0
L206,19,21,0,0,0,1,0
L214,19,21,1,0,0,0,0
L214,19,21,0,0,1,0,0
L210,21,23,0,1,0,0,0
L210,21,23,0,0,0,1,0
I011,7,9,1,0,0,0,0
I011,7,9,0,0,1,0,0
L206,21,23,0,1,0,0,0
L206,21,23,0,0,0,1,0
L214,19,21,0,1,0,0,0
L214,19,21,0,0,0,1,0
L408,21,23,0,1,0,0,0
L408,21,23,0,0,0,1,0
L216,17,19,0,1,0,0,0
I012,7,9,1,0,0,0,0
I012,7,9,0,0,1,0,0
I012,15,17,0,1,0,0,0
I012,15,17,0,0,0,1,0
F201A,17,19,0,1,0,0,0
F201A,17,19,0,0,0,1,0
LBIAG,11,13,1,0,0,0,0
LBIAG,11,13,0,0,1,0,0
LBIAG,15,17,1,0,0,0,0
LBIAG,15,17,0,0,1,0,0
I012,9,11,0,1,0,0,0
I012,9,11,0,0,0,1,0
I013,15,17,0,1,0,0,0
I013,15,17,0,0,0,1,0
L278,19,21,0,1,0,0,0
L278,19,21,0,0,0,1,0
I013,11,13,0,1,0,0,0
I013,11,13,0,0,0,1,0
I013,13,15,0,1,0,0,0
I013,13,15,0,0,0,1,0
L238,19,21,0,1,0,0,0
L238,19,21,0,0,0,1,0
L278,21,23,0,1,0,0,0
L278,21,23,0,0,0,1,0
I005,9,11,1,0,0,0,0
I005,9,11,0,0,1,0,0
I002,9,11,1,0,0,0,0
I002,9,11,0,0,1,0,0
I002,13,15,1,0,0,0,0
I002,13,15,0,0,1,0,0
I002,17,19,1,0,0,0,0
I002,17,19,0,0,1,0,0
L210,21,23,1,0,0,0,0
L210,21,23,0,0,1,0,0
L542,19,21,1,0,0,0,0
L542,19,21,0,0,1,0,0
I013,7,9,0,0,1,0,0
I013,7,9,0,0,0,0,1
I005,7,9,1,0,0,0,0
I005,7,9,0,0,1,0,0
I004,15,17,0,1,0,0,0
I004,15,17,0,0,0,1,0
I004,17,19,0,1,0,0,0
I004,17,19,0,0,0,1,0
L150,19,21,1,0,0,0,0
L150,19,21,0,0,1,0,0
L164,19,21,1,0,0,0,0
L164,19,21,0,0,1,0,0
I013,9,11,1,0,0,0,0
I013,9,11,0,0,1,0,0
F402,17,19,1,0,0,0,0
F402,17,19,0,0,1,0,0
L222,19,21,1,0,0,0,0
L222,19,21,0,0,1,0,0
L214,21,23,1,0,0,0,0
L214,21,23,0,0,1,0,0
L120,19,21,1,0,0,0,0
L120,19,21,0,0,1,0,0
I011,9,11,0,1,0,0,0
I011,9,11,0,0,0,1,0
I009,17,19,0,1,0,0,0
I009,17,19,0,0,0,1,0
L234,19,21,0,0,1,0,0
L234,19,21,0,0,0,0,1
I001,7,9,0,1,0,0,0
I001,7,9,0,0,0,1,0
I003,17,19,1,0,0,0,0
I003,17,19,0,0,1,0,0
L238,19,21,1,0,0,0,0
L238,19,21,0,0,1,0,0
L238,21,23,1,0,0,0,0
L238,21,23,0,0,1,0,0
I002,9,11,0,1,0,0,0
I002,9,11,0,0,0,1,0
I002,17,19,0,1,0,0,0
I002,17,19,0,0,0,1,0
L160,19,21,0,1,0,0,0
L160,19,21,0,0,0,1,0
L150,21,23,0,1,0,0,0
L150,21,23,0,0,0,1,0
L160,19,23,0,0,1,0,0
L250,17,19,1,0,0,0,0
L250,17,19,0,0,1,0,0
L518,19,23,0,0,0,1,0
L216,19,23,0,1,0,0,0
L206,17,19,0,1,0,0,0
L118,17,19,0,0,0,1,0
I009,7,9,1,0,0,0,0
I009,7,9,0,0,1,0,0
L218,15,17,1,0,0,0,0
L218,15,17,0,0,1,0,0
L414,17,19,1,0,0,0,0
L414,17,19,0,0,1,0,0
L242,19,21,1,0,0,0,0
L242,19,21,0,0,1,0,0
L242,21,23,0,1,0,0,0
L242,21,23,0,0,0,1,0
I002,7,9,1,0,0,0,0
I002,7,9,0,0,1,0,0
I011,11,13,1,0,0,0,0
I011,11,13,0,0,1,0,0
I011,17,19,1,0,0,0,0
I011,17,19,0,0,1,0,0
L222,19,21,0,1,0,0,0
L222,19,21,0,0,0,1,0
I013,11,13,1,0,0,0,0
I013,11,13,0,0,1,0,0
I011,15,17,0,1,0,0,0
I011,15,17,0,0,0,1,0
L206,19,21,0,0,1,0,0
L206,19,21,0,0,0,0,1
I001,9,11,0,0,1,0,0
I001,9,11,0,0,0,0,1
L234,19,21,0,1,0,0,0
L234,19,21,0,0,0,1,0
L234,21,23,0,1,0,0,0
L234,21,23,0,0,0,1,0
I011,9,11,0,0,1,0,0
I011,9,11,0,0,0,0,1
I008,13,15,0,0,1,0,0
I008,13,15,0,0,0,0,1
L330,19,21,1,0,0,0,0
L330,19,21,0,0,1,0,0
L330,21,23,1,0,0,0,0
L330,21,23,0,0,1,0,0
L110,21,23,0,1,0,0,0
L110,21,23,0,0,0,1,0
F402,17,19,0,1,0,0,0
F402,17,19,0,0,0,1,0
I007,17,19,1,0,0,0,0
I007,17,19,0,0,1,0,0
L120,21,23,1,0,0,0,0
L120,21,23,0,0,1,0,0
F206,17,19,1,0,0,0,0
